split,feature,language,category,count,percentage_within_language
test,test,Java,M,3682,68.17256063691909
test,test,Java,N,533,9.868542862432882
test,test,Python,H,83,4.6136742634797105
test,test,Python,L,135,7.5041689827682045
test,test,Python,M,1449,80.54474708171206
test,test,Python,N,132,7.337409672040022
test,security,C++,H,74,4.111111111111111
test,security,C++,L,162,9.0
test,security,C++,M,932,51.77777777777778
test,security,C++,N,632,35.111111111111114
test,security,Java,H,401,7.424551009072394
test,security,Java,L,727,13.460470283280873
test,security,Java,M,2318,42.91797815219404
test,security,Java,N,1955,36.197000555452696
test,security,Python,H,85,4.724847137298499
test,security,Python,L,131,7.281823235130628
test,security,Python,M,746,41.467481934408006
test,security,Python,N,837,46.525847693162866
